X,Y
288,32.3254
289,32.2826
290,32.2864
291,32.3101
292,32.3397
293,32.3162
294,32.3027
295,32.2128
296,32.3236
297,31.1767
298,30.9288
299,31.4153
300,31.5637
301,31.8832
302,31.8638
303,31.8930
304,31.9487
305,31.9710
306,31.9702
307,31.9342
308,31.9198
309,31.9678
310,31.9648
311,31.9320
312,31.9873
313,31.9782
314,31.9609
315,31.9192
316,31.8813
317,31.8672
318,31.8218
319,31.8158
320,31.7809
321,31.7188
322,31.8126
323,31.8032
324,31.9296
325,31.8727
326,31.8601
327,31.7804
328,31.7615
329,31.7046
330,31.6955
331,31.6533
332,31.6846
333,31.7449
334,31.7485
335,31.8182
336,31.8829
337,31.8828
338,31.7804
339,31.8129
340,31.7466
341,31.7233
342,31.7377
343,31.6969
344,31.5502
345,31.4103
346,31.5283
347,31.5413
348,31.5148
349,31.5413
350,31.5162
351,31.4025
352,31.3470
353,31.2103
354,31.2548
355,31.2565
356,31.2369
357,31.3179
358,31.2857
359,31.2827
360,31.0217
361,31.0485
362,31.0349
363,30.9614
364,30.8081
365,30.7035
366,30.7242
367,30.7479
368,30.7042
369,30.6425
370,30.6021
371,30.6126
372,30.5844
373,30.5291
374,30.4965
375,30.4737
376,30.5333
377,30.5294
378,30.5429
379,30.4424
380,30.4546
381,30.3385
382,30.2553
383,30.2507
384,30.2724
385,30.2993
386,30.2242
387,30.2106
388,30.1858
389,30.1159
390,30.1126
391,30.0913
392,30.1202
393,30.1482
394,30.1735
395,30.1662
396,30.2111
397,30.2240
398,30.2416
399,30.2522
400,30.2722
401,30.2586
402,30.2713
403,30.2361
404,30.2173
405,30.2438
406,30.2177
407,30.2666
408,30.2385
409,30.2919
410,30.2500
411,30.2015
412,30.1965
413,30.1984
414,30.1831
415,30.1991
416,30.1828
417,30.1269
418,30.1864
419,30.1324
420,30.1630
421,30.1042
422,30.0714
423,30.0298
424,30.0458
425,30.0670
426,30.0585
427,30.0590
428,30.0618
429,30.1397
430,30.1372
431,30.1579
432,30.1858
433,30.1609
434,30.0821
435,30.0826
436,30.0047
437,29.9829
438,29.9187
439,29.8590
440,29.7985
441,29.6810
442,29.5551
443,29.5581
444,29.5865
445,29.4884
446,29.4692
447,29.3911
448,29.4316
449,29.3654
450,29.4840
451,29.5119
452,29.6033
453,29.4229
454,29.0811
