,Conso
03/08/23 10:00,1371.634109068409
03/08/23 11:00,440.617859682975
03/08/23 12:00,3032.7153404842493
03/08/23 13:00,981.9844924943077
03/08/23 14:00,656.6640896889866
03/08/23 15:00,673.6600409875006
03/08/23 16:00,926.6596389357825
03/08/23 17:00,138.54287707161768
03/08/23 18:00,1686.9553062052119
03/08/23 19:00,1779.2419694360754
03/08/23 20:00,1802.4539199193057
03/08/23 21:00,3673.1450704813456
03/08/23 22:00,1214.3817884044863
03/08/23 23:00,338.5439777979758
04/08/23 00:00,393.10222836922105
04/08/23 01:00,173.98225780437065
04/08/23 02:00,389.96989920501153
04/08/23 03:00,382.12319093589565
04/08/23 04:00,238.87220722083816
04/08/23 05:00,486.73427880339653
04/08/23 06:00,575.869966174693
04/08/23 07:00,2504.3546760991685
04/08/23 08:00,1103.4027102862908
04/08/23 09:00,826.5056399122159
04/08/23 10:00,968.0534839701021
04/08/23 11:00,919.5394536313642
04/08/23 12:00,1101.7643267466344
04/08/23 13:00,946.619110146373
04/08/23 14:00,341.5001498122788
04/08/23 15:00,1336.1660527372753
04/08/23 16:00,240.8334972665803
04/08/23 17:00,544.804604832967
04/08/23 18:00,1361.5449949728759
04/08/23 19:00,1393.9197611719344
04/08/23 20:00,2019.3152355110922
04/08/23 21:00,3202.7917175394223
04/08/23 22:00,888.3818800014523
04/08/23 23:00,542.76605258257
05/08/23 00:00,189.98147164962214
05/08/23 01:00,176.05273383413535
05/08/23 02:00,307.0768651125356
05/08/23 03:00,461.67866007068216
05/08/23 04:00,217.784963852951
05/08/23 05:00,451.04613664795926
05/08/23 06:00,616.1953767392806
05/08/23 07:00,2205.877340228663
05/08/23 08:00,1592.7532144603142
05/08/23 09:00,630.820606651488
05/08/23 10:00,540.5068770274283
05/08/23 11:00,801.5555613018282
05/08/23 12:00,1178.6643116663504
05/08/23 13:00,2318.0520755713396
05/08/23 14:00,289.5927565034744
05/08/23 15:00,699.793634616268
05/08/23 16:00,187.17035011252744
05/08/23 17:00,783.0590448431689
05/08/23 18:00,1619.6686676253416
05/08/23 19:00,949.0956862028441
05/08/23 20:00,2645.6715440002454
05/08/23 21:00,2931.805265939958
05/08/23 22:00,1190.7107855300037
05/08/23 23:00,690.5900164872212
06/08/23 00:00,109.51413227140061
06/08/23 01:00,214.74531772874658
06/08/23 02:00,281.12521877239806
06/08/23 03:00,375.41785278067334
06/08/23 04:00,360.0919806430777
06/08/23 05:00,464.0537815020865
06/08/23 06:00,761.825680941188
06/08/23 07:00,2040.3277707977834
06/08/23 08:00,1908.9020379519975
06/08/23 09:00,435.46269538882126
06/08/23 10:00,832.4924571670696
06/08/23 11:00,392.7947728456285
06/08/23 12:00,1898.7224165102543
06/08/23 13:00,2431.5618215566487
06/08/23 14:00,412.06773340353334
06/08/23 15:00,508.7538294509104
06/08/23 16:00,443.68942253389366
06/08/23 17:00,233.1697389591868
06/08/23 18:00,1094.4600264487194
06/08/23 19:00,1971.481440862068
06/08/23 20:00,2938.89476419516
06/08/23 21:00,4682.835880231224
06/08/23 22:00,1035.4704819570475
06/08/23 23:00,622.9890477143301
07/08/23 00:00,267.5862678352231
07/08/23 01:00,76.57310470454686
07/08/23 02:00,469.8821346526212
07/08/23 03:00,617.9692839623978
07/08/23 04:00,270.54630174789844
07/08/23 05:00,590.2202790193995
07/08/23 06:00,419.19308242914576
07/08/23 07:00,3545.372465698286
07/08/23 08:00,1705.8767562203495
07/08/23 09:00,503.3672052701945
07/08/23 10:00,900.4694846317957
07/08/23 11:00,347.91410094726797
07/08/23 12:00,2429.219441986949
07/08/23 13:00,1134.154806906841
07/08/23 14:00,360.5298715199018
07/08/23 15:00,446.1597345045216
07/08/23 16:00,775.3933882667609
07/08/23 17:00,234.754622190837
07/08/23 18:00,1350.6101137632616
07/08/23 19:00,3181.5376716697488
07/08/23 20:00,2873.0112221853033
07/08/23 21:00,3628.6169215595773
07/08/23 22:00,1591.6307594316224
07/08/23 23:00,340.7277391443888
08/08/23 00:00,340.7082307106679
08/08/23 01:00,120.95883679150363
08/08/23 02:00,501.7401593237828
08/08/23 03:00,542.7307435112104
08/08/23 04:00,237.25806022732957
08/08/23 05:00,591.7084253657134
08/08/23 06:00,360.18371803828296
