X,Y
994,22.3490
995,22.2140
996,22.0615
997,22.0705
998,22.1184
999,22.0553
1000,21.9430
1001,21.8760
1002,21.9554
1003,21.9394
1004,21.8623
1005,21.8156
1006,21.6937
1007,21.4494
1008,21.1790
1009,21.0882
1010,21.1131
1011,21.0174
1012,20.9068
1013,20.8567
1014,20.6701
1015,20.3170
1016,20.3935
1017,20.4544
1018,20.5312
1019,20.7241
1020,20.6346
1021,20.2637
1022,19.8930
1023,20.2252
1024,20.1567
1025,20.0298
1026,20.5870
1027,20.7536
1028,20.7304
1029,20.1544
1030,19.7895
1031,19.9848
1032,20.1017
1033,20.2870
1034,20.2631
1035,19.8412
1036,19.7053
1037,19.6511
1038,19.6104
1039,19.4598
1040,19.4694
1041,19.5411
1042,19.5013
1043,19.2205
1044,19.0888
1045,18.8736
1046,18.9555
1047,19.0837
1048,19.1826
1049,19.0647
1050,19.1365
1051,19.2735
1052,19.5260
1053,19.4151
1054,19.4635
1055,19.5602
1056,19.5737
1057,19.5437
1058,19.7952
1059,19.6909
1060,19.8533
1061,19.8828
1062,19.9637
1063,19.7162
1064,19.8810
1065,19.4430
1066,19.7552
1067,19.6377
1068,20.0462
1069,19.7330
1070,19.8418
1071,20.0092
1072,20.0878
1073,20.3271
1074,20.3011
1075,20.3321
1076,20.4284
1077,20.5330
1078,20.7008
1079,20.6345
1080,20.2987
1081,20.7121
1082,20.8014
1083,20.8593
1084,20.7557
1085,20.5073
1086,20.5134
1087,20.7122
1088,20.5985
1089,20.5489
1090,20.7189
1091,20.8305
1092,20.9497
1093,20.8126
1094,20.6591
1095,20.5917
1096,20.7192
1097,20.8959
1098,20.9624
1099,20.6976
1100,20.5888
1101,20.4619
1102,20.3719
1103,20.5089
1104,20.5200
1105,20.4429
1106,20.1476
1107,19.8808
1108,19.6106
1109,19.5423
1110,19.4761
1111,19.3507
1112,18.9256
1113,18.4310
1114,18.3238
1115,18.1285
1116,18.1985
1117,18.3161
1118,18.2768
1119,17.7085
1120,17.2182
1121,17.2991
1122,17.1470
1123,16.7376
1124,17.1113
1125,17.2517
1126,17.5473
1127,16.9142
1128,16.3349
1129,16.5773
1130,16.7286
1131,16.5815
1132,16.9226
1133,16.9000
1134,16.9362
1135,16.4047
1136,16.2444
1137,16.2562
1138,16.2402
1139,16.4271
1140,16.4005
1141,16.3297
1142,16.2694
1143,16.3221
1144,16.3683
1145,16.3747
1146,16.5603
1147,17.5715
1148,18.0647
1149,18.2133
1150,18.2439
1151,18.3667
1152,18.5202
1153,18.4957
1154,18.5215
1155,18.4382
1156,18.4314
1157,18.3043
1158,18.4110
1159,18.5075
1160,18.5222
1161,18.4679
1162,18.4914
1163,18.4723
1164,18.6328
1165,18.9620
1166,19.0092
1167,19.4488
1168,19.4899
1169,19.8815
1170,19.7475
1171,19.3314
1172,19.7663
1173,19.8980
1174,19.9016
1175,19.9612
1176,19.8860
1177,19.8936
1178,20.0200
1179,19.9841
1180,20.2120
1181,20.8446
1182,20.8255
1183,20.6692
1184,20.9197
1185,20.9647
1186,20.9982
1187,21.0065
1188,20.8790
1189,20.8377
1190,20.7730
1191,20.7357
1192,20.7028
1193,20.6593
1194,20.6670
1195,20.6747
1196,20.7206
1197,20.7828
1198,20.8227
1199,20.8127
1200,20.8217
1201,20.8248
1202,20.7918
1203,20.8484
1204,20.8229
1205,20.8728
1206,20.8658
1207,20.8273
1208,20.7575
1209,20.7384
1210,20.4520
1211,20.3523
1212,20.2790
