X,Y
517,28.40216
518,28.38030
519,28.37481
520,28.36559
521,28.37251
522,28.35494
523,28.39533
524,28.39632
525,28.42667
526,28.43061
527,28.41186
528,28.42813
529,28.42644
530,28.39561
531,28.42420
532,28.37074
533,28.39528
534,28.36049
535,28.34434
536,28.37373
537,28.32110
538,28.32400
539,28.33625
540,28.34762
541,28.34117
542,28.29446
543,28.33033
544,28.32095
545,28.24406
546,28.27337
547,28.26881
548,28.28445
549,28.28325
550,28.26761
551,28.29328
552,28.32026
553,28.27341
554,28.25293
555,28.27339
556,28.28482
557,28.24701
558,28.26824
559,28.25519
560,28.24792
561,28.23320
562,28.22401
563,28.20465
564,28.16397
565,28.20168
566,28.20414
567,28.18628
568,28.18854
569,28.20813
570,28.18950
571,28.20097
572,28.19916
573,28.18324
574,28.23837
575,28.21553
576,28.18867
577,28.26645
578,28.24518
579,28.18626
580,28.16593
581,28.19446
582,28.20685
583,28.22488
584,28.15966
585,28.19523
586,28.18836
587,28.17772
588,28.27408
589,28.20453
590,28.20078
591,28.16674
592,28.14004
593,28.13506
594,28.14984
595,28.14956
596,28.13693
597,28.16816
598,28.16432
599,28.20567
600,28.20857
601,28.11978
602,28.15074
603,28.12936
604,28.14223
605,28.12808
606,28.16294
607,28.12792
608,28.12804
609,28.10958
610,28.15348
611,28.15487
612,28.19987
613,28.21195
614,28.22212
615,28.21093
616,28.21527
617,28.19550
618,28.16477
619,28.18427
620,28.19375
621,28.19769
622,28.22065
623,28.24270
624,28.22623
625,28.21419
626,28.21679
627,28.19981
628,28.24807
629,28.19534
630,28.17697
631,28.17984
632,28.15182
633,28.12076
634,28.13441
635,28.16969
636,28.13058
637,28.11917
638,28.13599
639,28.15610
640,28.07057
641,28.04588
642,28.03744
643,28.06286
644,28.08857
645,28.10144
646,28.08688
647,28.11202
648,28.02375
649,28.04171
650,28.03960
651,28.01100
652,28.08169
653,28.06398
654,28.03715
655,28.06426
656,28.02625
657,28.03315
658,28.00498
659,28.03242
660,27.98481
661,27.99121
662,28.01395
663,28.01269
664,27.97972
665,28.00004
666,28.00476
667,27.98137
668,28.01442
669,28.00031
670,27.95768
671,27.94684
672,27.94710
673,28.11151
674,28.04013
675,28.00858
676,27.97671
677,28.01983
678,27.96065
679,27.96429
680,27.95967
681,27.96376
682,27.93777
683,27.95701
684,27.96671
685,27.98904
686,28.01058
687,28.02255
688,27.95522
689,27.98802
690,27.99048
691,27.97733
692,27.96232
693,27.94078
694,27.93075
695,28.04031
696,28.01775
697,27.91379
698,27.91007
699,27.86834
700,27.90226
701,27.92327
702,27.84900
703,27.87950
704,27.85130
705,27.88764
706,27.90854
707,27.89071
708,27.95101
709,27.94043
710,27.91432
711,27.91367
712,27.90497
713,27.91680
714,27.88963
715,27.91070
716,27.96707
717,27.94594
718,27.93692
719,27.95260
720,27.95266
721,27.97926
722,28.01910
723,28.01916
724,28.03892
725,28.01637
726,28.00848
727,28.00994
728,28.01328
729,27.99605
730,27.95579
731,27.90932
732,27.89110
733,27.90415
734,27.88416
735,27.88011
736,27.90078
737,27.86395
738,27.78498
739,27.78677
740,27.76507
741,27.78707
742,27.82575
743,27.84442
744,27.80412
745,27.80995
746,27.80849
747,27.78018
748,27.78124
749,27.81351
750,27.76277
751,27.78463
752,27.76806
753,27.75049
754,27.69961
755,27.70685
756,27.75260
757,27.75533
758,27.73153
759,27.70445
760,27.74701
761,27.72466
762,27.71295
763,27.75401
764,27.73955
765,27.77772
766,27.71618
767,27.72887
768,27.73829
769,27.86956
770,27.82016
771,27.72889
772,27.72023
773,27.73544
774,27.77880
775,27.74152
776,27.74583
777,27.79887
778,27.73188
779,27.74664
780,27.77042
781,27.75309
782,27.79023
783,27.81207
784,27.74266
785,27.71380
786,27.67817
787,27.71844
788,27.69808
789,27.67506
790,27.70361
791,27.77821
792,27.72659
793,27.73225
794,27.67807
795,27.68004
796,27.67266
797,27.65946
798,27.69743
799,27.71406
800,27.72619
801,27.72027
802,27.73129
803,27.71461
804,27.74581
805,27.72787
806,27.72098
807,27.68266
808,27.67427
809,27.66538
810,27.72938
811,27.74044
812,27.78036
813,27.80182
814,27.79047
815,27.78225
816,27.79187
817,27.74164
818,27.76275
819,27.75618
820,27.72604
821,27.77981
822,27.72147
823,27.71744
824,27.76842
825,27.73097
826,27.69979
827,27.67262
828,27.63530
829,27.63803
830,27.62475
831,27.59505
832,27.59701
833,27.59072
834,27.55102
835,27.53423
836,27.52530
837,27.53144
838,27.49664
839,27.46234
840,27.52026
841,27.57752
842,27.53596
843,27.55147
844,27.51357
845,27.51363
846,27.51432
847,27.56314
848,27.49813
849,27.49669
850,27.49764
851,27.44796
852,27.44281
853,27.45369
854,27.46622
855,27.45192
856,27.46805
857,27.47334
858,27.47631
859,27.48367
860,27.47271
861,27.45363
862,27.47096
863,27.51782
864,27.47802
865,27.61405
866,27.59717
867,27.53463
868,27.48928
869,27.50809
870,27.51277
871,27.53396
872,27.52609
873,27.49540
874,27.48757
875,27.46114
876,27.48389
877,27.48692
878,27.48593
879,27.51759
880,27.50726
881,27.50517
882,27.51169
883,27.48113
884,27.50315
885,27.48597
886,27.50069
887,27.58421
888,27.57763
889,27.51859
890,27.50760
891,27.53112
892,27.53225
893,27.47252
894,27.48812
895,27.46016
896,27.44454
897,27.45695
898,27.52020
899,27.47891
900,27.48399
901,27.47635
902,27.45979
903,27.49475
904,27.49492
905,27.49618
906,27.45056
907,27.44796
908,27.44397
909,27.47234
910,27.47330
911,27.45837
912,27.43990
913,27.44633
914,27.42355
915,27.39283
916,27.37548
917,27.36362
918,27.37645
919,27.32962
920,27.31736
921,27.30847
922,27.31969
923,27.34088
924,27.33397
925,27.30401
926,27.31532
927,27.20648
928,27.24111
929,27.32569
930,27.32000
931,27.33790
932,27.35901
933,27.29824
934,27.15080
935,27.11179
936,27.16440
937,27.23298
938,27.25332
939,27.25169
940,27.26119
941,27.10819
942,27.00128
943,26.98347
944,27.00838
945,27.05822
946,27.06321
947,27.05314
948,27.00716
949,26.98092
950,26.89185
951,26.87560
952,26.91971
953,26.97871
954,27.04419
955,27.05886
956,27.05080
957,27.04549
958,27.02217
959,27.03956
960,27.05505
961,27.24186
962,27.23253
963,27.10575
964,26.96852
965,27.01572
966,27.06067
967,27.06152
968,27.11031
969,27.15936
970,27.05145
971,27.05206
972,27.04547
973,27.01385
974,27.02038
975,26.99805
976,27.06530
977,27.07870
978,27.08287
979,27.13087
980,27.11828
981,27.14199
982,27.12637
983,27.25498
984,27.19999
985,27.18077
986,27.14380
987,27.16914
988,27.17699
989,27.20219
990,27.19292
